Counter";"Name";"Vorname";"Anrede";"Email";"rfm";"Date"
"1";"Gottscholl";"Sandra";"";"abc.abc.abc-abc@t-online.de";"15";"02.02.2017"
"2";"Afedbü";"Horst";"Herr";"abc+abc@abc.de";"1";"25.05.2002"
"3";"";"Yann";"Herr";"abc@abc";"5";"01.01.2009"
"4";"abc";"test-name";"";"abc@abc-de";"";"01.04.2005"
"5";"Wilhelm";"Johannes";"Herr";"johannes2175@gmail.com";"32";"11.07.1983"
"6";"Schulz";"Boris";"Herr";"abc@abc.d";"32";"25.06.2003"
"7";"Schmidt";"Alex";"Frau";"johannes2175@gmail.com";"0";"20.11.2005"
"8";"Fahrtß";"Max Karl Fritz";"Herr";"max-karl-fritz@gmx.de";"";"17.03.2014"
"9";"Pies Schmidt";"Ana-Lena";"Frau";"Ana-Lena@alena.de";"30";"05.06.2008"
"10";"Keil";"Matze";"Herr";"mail@mk-mail.com";"25";"26.09.2010"
